6.842	6.777	6.628	6.719	6.485	6.569	6.680	6.719	7.463	8.342	9.396	9.333	9.887	10.513	10.712	10.613	10.588	10.182	10.282	10.488	10.251	8.896	7.727	7.502	6.991	6.608	6.628	6.654	6.706	6.543	6.621	6.504	6.406	7.140	8.813	9.510	10.163	10.457	9.636	10.006	10.201	10.113	10.451	9.906	8.495	7.663	7.134	6.660	6.667	6.894	6.641	6.563	6.933	6.680	7.418	8.743	9.528	9.994	10.038	10.188	9.881	9.918	9.560	7.997	7.198	6.914	6.595	6.823	6.680	6.569	6.842	7.030	8.712	10.313	10.775	10.831	10.344	10.194	9.831	8.291	7.502	7.218	7.030	7.205	6.855	7.004	7.502	9.149	9.510	8.997	9.187	9.774	8.489	7.663	6.823	6.816	6.738	6.849	7.114	7.990	8.921	9.415	9.301	8.769	7.856	6.991	7.030	6.771	6.901	7.173	7.108	7.244	7.205	7.250	7.482	7.437	7.553	7.701	7.224	7.412	7.153	7.237	7.004	7.037	7.127	7.211	7.166	7.257	7.321	7.218	7.399	7.108	7.263	7.276	7.353	7.147	7.366	7.347	7.237	7.366	7.547	7.521	7.302	7.082	6.641	6.452	6.797	6.758	6.452	6.823	6.595	6.667	6.563	6.647	6.400	6.790	6.550	6.641	6.836	6.686
6.991	6.732	6.751	6.511	6.667	6.446	6.647	6.732	7.379	8.699	9.497	9.282	9.912	10.319	10.213	10.681	10.650	10.457	10.376	10.787	10.144	8.559	7.881	7.463	6.972	6.680	6.719	6.888	6.628	6.641	6.849	6.582	6.628	7.147	8.495	9.402	9.931	10.194	9.623	9.900	10.201	10.301	10.575	9.881	8.616	7.676	7.211	6.901	6.706	6.654	6.537	6.712	6.862	6.706	7.069	8.584	9.390	9.724	9.937	9.849	9.856	9.862	9.465	7.984	7.295	6.511	6.608	6.569	6.667	6.823	6.693	7.121	8.278	9.686	10.675	10.706	10.507	9.893	9.787	8.438	7.489	7.237	6.991	7.037	7.056	7.198	7.328	8.546	9.048	8.737	9.118	9.390	8.425	7.437	7.166	7.024	6.790	6.693	6.978	8.105	8.597	8.890	9.067	8.959	8.041	7.360	6.959	6.894	6.836	7.024	7.463	7.270	7.399	7.431	7.412	7.405	7.315	7.437	7.289	7.373	7.063	7.147	7.321	6.953	7.134	6.920	6.946	7.224	7.101	7.030	7.224	7.173	7.140	7.489	7.153	7.366	7.166	7.173	7.263	7.211	7.476	7.450	7.108	6.875	6.745	6.485	6.855	6.823	6.849	6.706	6.803	6.745	6.777	6.777	6.959	6.719	7.017	6.693	6.842	6.673
6.797	6.647	6.621	6.758	6.517	6.712	6.400	6.654	7.244	8.635	9.314	9.390	9.831	10.219	10.319	10.550	10.557	10.513	10.313	10.569	10.169	8.642	7.804	7.482	7.173	6.354	6.881	6.615	6.810	6.660	6.836	6.569	6.660	6.933	8.374	9.566	9.743	10.044	9.421	9.761	10.176	10.119	10.288	10.031	8.169	7.643	7.024	6.907	6.738	6.602	6.634	6.745	6.576	6.764	7.173	8.603	9.390	9.692	9.661	9.673	9.755	9.667	9.617	7.875	7.198	6.738	6.667	6.537	6.803	6.628	6.595	7.011	8.310	9.636	10.444	10.644	10.319	9.937	9.749	7.984	7.579	7.302	7.121	7.186	7.166	7.328	7.573	8.470	8.737	8.195	8.851	9.010	8.157	7.482	7.134	6.998	6.836	6.972	7.153	7.586	7.791	7.733	7.791	7.990	7.849	7.386	6.842	6.823	6.920	7.134	7.101	6.978	7.134	7.153	7.211	7.056	7.437	7.373	6.914	7.127	7.140	7.166	6.985	7.050	6.933	7.037	7.108	7.082	7.140	7.173	6.998	7.224	7.089	7.211	7.250	7.276	7.173	7.218	7.173	7.295	7.373	7.418	7.334	6.953	6.862	6.608	7.179	6.569	6.862	7.179	7.069	6.764	7.127	6.842	7.017	7.302	6.920	6.810	6.810	6.634
6.758	6.608	6.608	6.803	6.725	6.823	6.634	6.693	7.218	8.546	9.478	9.516	9.893	9.875	10.138	10.238	10.557	10.031	10.219	10.182	10.338	8.782	7.926	7.366	6.940	6.901	6.680	6.667	6.634	6.660	6.569	7.011	6.712	6.784	8.425	9.137	9.554	10.094	9.510	9.724	9.950	10.207	10.276	9.856	8.144	7.289	7.205	6.732	6.829	6.972	6.751	6.888	7.043	6.888	7.134	8.495	8.928	9.636	9.383	9.636	9.446	9.276	9.168	7.900	7.134	6.719	6.491	6.465	6.582	6.602	6.634	6.907	8.329	9.042	9.554	9.427	9.181	8.686	8.565	7.708	7.515	7.457	7.457	7.682	7.888	7.437	7.708	7.095	7.515	7.218	7.127	7.366	7.482	7.373	7.450	7.573	7.990	7.984	7.939	7.450	7.276	7.476	7.521	7.605	7.920	7.392	7.270	7.017	6.927	7.140	7.121	7.302	7.179	7.211	7.121	7.321	7.134	7.231	7.282	7.270	7.147	6.849	7.205	6.855	6.953	7.198	7.270	6.920	7.089	7.101	7.076	7.186	7.004	7.257	7.063	7.121	7.166	7.160	7.076	7.282	7.444	7.437	7.295	7.276	6.978	6.706	6.978	6.933	6.829	7.373	7.147	6.907	7.965	7.444	7.173	6.894	6.901	7.011	6.927	6.764
6.953	6.777	6.725	6.498	6.602	6.491	6.777	6.634	7.101	8.316	9.187	9.472	9.667	10.082	9.812	10.194	10.332	10.082	9.956	10.401	10.050	8.705	7.759	7.392	6.940	6.888	6.829	6.868	6.550	6.927	6.498	6.849	6.927	6.771	8.176	9.092	9.308	10.013	9.251	9.705	9.774	10.075	10.075	9.749	8.406	7.650	7.308	7.050	7.198	6.875	6.991	6.621	6.823	6.745	7.341	8.201	8.508	8.839	9.168	8.896	8.705	8.610	8.208	7.328	7.101	6.771	6.751	6.875	6.719	6.790	6.868	6.764	7.224	7.308	7.147	7.412	7.282	7.257	7.295	7.444	7.521	7.586	7.592	7.714	7.733	7.881	7.849	7.463	7.004	6.745	6.933	7.218	7.263	7.958	10.675	11.833	11.974	10.357	8.067	7.244	7.198	7.386	7.198	7.186	7.663	7.573	7.076	7.089	6.641	7.017	6.972	6.875	7.056	7.179	7.114	6.927	7.011	7.082	7.244	7.211	7.017	6.933	6.965	7.017	6.842	7.114	6.927	6.842	7.082	7.030	7.114	7.069	7.082	7.121	7.205	7.231	7.263	7.114	7.224	7.224	7.379	7.192	7.315	7.334	6.991	6.849	7.024	6.758	7.004	7.037	7.347	7.101	7.366	7.173	7.418	6.862	7.024	6.855	7.050	6.959
7.004	6.888	6.719	6.608	6.842	6.855	6.849	7.011	7.237	8.489	9.137	9.251	9.648	9.962	9.862	9.912	10.419	9.906	10.094	10.338	9.950	8.552	7.785	7.489	7.089	6.849	6.888	6.621	7.121	6.823	7.147	6.777	6.816	7.127	8.304	8.972	9.409	9.780	9.035	9.591	9.390	9.749	9.642	9.717	8.105	7.502	7.082	7.302	7.282	7.056	7.270	6.927	6.920	6.965	6.985	6.978	7.095	7.231	7.218	7.173	7.186	7.250	6.978	7.437	6.875	6.927	6.764	6.953	6.803	6.829	6.901	6.998	6.777	6.621	6.628	6.660	6.309	6.712	6.699	6.712	7.321	7.618	7.804	7.894	7.727	8.189	7.586	7.366	7.224	6.829	6.972	7.024	6.991	7.101	9.711	10.756	10.169	10.332	8.214	7.676	7.308	7.592	7.412	7.270	7.424	7.701	7.341	7.127	7.069	7.024	7.069	7.276	7.101	6.927	7.030	7.076	7.011	6.576	6.901	6.543	6.972	6.777	6.686	6.816	6.745	6.914	7.004	6.836	7.231	6.998	6.868	6.978	6.927	7.056	6.933	7.282	6.894	7.134	7.101	7.257	7.289	7.076	6.998	7.140	7.017	6.764	6.978	7.011	7.063	7.328	7.179	7.134	7.373	7.050	7.198	7.224	6.894	7.231	6.777	7.244
6.978	6.881	6.868	6.829	6.803	6.732	6.641	6.946	7.160	8.342	9.194	9.162	9.314	9.749	9.812	10.056	9.661	9.661	9.774	10.132	10.132	8.527	8.054	7.140	7.508	6.933	6.894	6.946	6.920	7.140	6.901	7.030	6.790	7.270	7.753	8.150	8.157	8.374	8.304	7.971	8.054	7.965	8.003	8.285	7.907	7.508	7.772	7.740	7.521	7.534	7.153	7.412	7.791	7.373	6.842	6.862	6.901	6.745	6.582	6.862	6.745	7.043	6.647	6.940	6.829	6.959	6.907	6.894	6.836	6.719	6.751	6.719	6.556	6.491	6.184	6.309	6.230	6.452	6.576	6.309	6.706	7.412	7.637	7.843	7.862	7.945	7.308	7.424	7.224	7.231	7.121	7.295	7.450	7.405	7.688	9.149	9.881	9.705	9.893	9.023	8.794	8.297	8.176	8.054	7.932	7.463	7.108	7.011	6.829	6.888	6.634	6.777	6.459	6.563	6.289	6.732	6.530	6.543	6.712	6.563	6.725	6.816	6.784	6.478	6.478	6.732	6.621	6.855	6.498	6.693	6.888	6.615	6.550	6.550	6.673	6.901	6.771	6.953	6.810	6.732	6.621	6.836	6.862	7.218	7.108	7.050	7.030	7.932	7.701	7.476	7.753	7.334	7.553	7.270	7.289	7.424	7.457	7.708	7.315	7.399
7.095	7.321	6.927	6.914	6.875	6.803	6.933	6.829	7.069	8.246	8.896	8.997	9.585	9.510	9.541	9.667	9.661	9.168	9.295	9.390	9.282	8.431	7.618	7.650	7.341	6.965	6.914	6.927	7.127	7.347	7.231	7.347	7.153	7.140	7.315	7.101	7.321	7.321	7.457	7.237	7.211	7.166	7.386	7.437	7.470	7.631	10.075	10.582	10.806	10.688	9.118	9.054	10.219	8.061	7.076	6.751	6.771	6.745	6.680	6.550	6.419	6.524	6.504	6.426	6.615	6.459	6.569	6.738	6.751	6.569	6.634	6.725	6.563	6.478	6.335	6.282	6.243	6.315	6.432	6.472	6.485	6.816	7.528	7.881	7.772	7.515	8.463	8.093	7.766	7.740	7.676	7.939	7.399	7.198	7.224	7.334	7.211	7.205	7.353	7.392	7.347	7.224	7.082	6.985	6.803	7.043	6.849	6.504	6.569	6.712	6.459	6.563	6.673	6.576	6.517	6.706	6.309	6.511	6.790	6.706	6.732	6.621	6.790	6.478	6.641	6.751	6.615	6.745	6.556	6.504	6.511	6.628	6.641	6.751	6.654	6.927	6.621	6.589	6.472	6.667	6.842	6.738	6.862	7.140	7.127	6.907	7.270	7.836	7.856	7.560	7.450	7.289	7.360	7.315	7.237	7.392	7.682	7.811	7.900	7.586
7.211	7.244	7.063	6.946	7.082	6.862	7.205	7.011	7.140	7.495	8.144	7.939	8.080	8.214	8.067	8.137	7.888	7.875	7.939	7.676	7.823	7.849	7.560	7.637	7.637	7.573	7.631	7.862	8.208	8.661	9.111	9.149	8.041	7.515	7.321	7.166	7.095	6.978	7.030	7.050	6.849	6.868	7.101	7.534	7.160	6.972	10.263	11.679	12.091	11.759	9.610	9.849	10.376	8.048	7.701	6.686	6.738	6.563	6.862	6.602	6.608	6.543	6.550	6.628	6.615	6.576	6.712	6.771	6.576	6.660	6.472	6.517	6.315	6.400	6.393	6.380	6.315	6.309	6.439	6.269	6.569	6.836	7.688	7.598	7.321	6.946	6.978	6.706	7.089	6.927	6.712	6.563	6.764	6.693	6.615	6.667	6.790	6.641	6.933	6.784	6.888	6.777	6.654	6.413	6.654	6.543	6.426	6.621	6.595	6.530	6.686	6.712	6.478	6.673	6.459	6.530	6.491	6.491	6.550	6.914	6.628	6.725	6.452	6.719	6.504	6.816	6.426	6.667	6.628	6.751	6.367	6.472	6.439	6.550	6.615	6.641	6.719	6.524	6.498	6.686	6.810	6.991	6.907	7.050	6.978	7.011	7.192	7.733	7.913	7.547	7.727	7.328	7.476	7.108	7.257	7.547	7.353	7.656	7.907	7.553
7.463	7.450	7.334	7.495	7.166	7.489	7.101	7.082	6.907	6.920	7.030	6.985	6.920	7.030	7.224	7.315	6.991	7.140	7.076	7.289	7.270	7.289	7.418	9.472	10.880	11.011	11.407	11.654	11.494	11.876	12.219	11.771	9.137	7.920	7.263	7.282	7.173	7.017	6.829	6.712	6.582	6.465	6.719	6.706	7.004	7.127	7.289	11.054	12.035	12.213	10.100	9.793	10.100	8.285	7.688	6.738	7.030	6.868	7.082	6.940	7.308	7.495	7.573	7.392	7.056	6.699	6.862	6.855	6.862	6.498	6.589	6.537	6.230	6.380	6.465	6.413	6.511	6.491	6.667	6.602	6.543	6.478	7.237	7.656	7.399	6.881	6.816	7.043	6.621	6.810	6.354	6.465	6.810	6.615	6.914	6.693	6.537	6.576	6.764	6.914	6.764	6.680	6.842	6.615	6.524	6.582	6.550	6.504	6.361	6.582	6.550	6.602	6.537	6.543	6.569	6.550	6.615	6.602	6.491	6.406	6.406	6.302	6.478	6.406	6.576	6.699	6.641	6.459	6.634	6.439	6.758	6.816	6.576	6.459	6.595	6.745	6.511	6.797	6.582	6.706	6.803	6.777	6.517	7.024	6.901	6.914	6.914	7.547	7.798	7.302	7.463	7.244	7.676	7.424	7.127	7.160	7.295	7.746	7.772	7.489
